VERTEX = 398
-5.0 186.0 0.0
-17.0 184.0 0.0
-20.0 177.0 0.0
-20.0 168.0 0.0
-19.0 161.0 0.0
-20.0 144.0 0.0
-21.0 130.0 0.0
-21.0 116.0 0.0
-23.0 104.0 0.0
-22.0 91.0 0.0
-23.0 80.0 0.0
-25.0 63.0 0.0
-26.0 46.0 0.0
-43.0 37.0 0.0
-64.0 47.0 0.0
-84.0 69.0 0.0
-92.0 93.0 0.0
-121.0 118.0 0.0
-162.0 137.0 0.0
-209.0 138.0 0.0
-244.0 121.0 0.0
-264.0 91.0 0.0
-280.0 52.0 0.0
-285.0 2.0 0.0
-287.0 -45.0 0.0
-280.0 -73.0 0.0
-263.0 -120.0 0.0
-240.0 -162.0 0.0
-192.0 -187.0 0.0
-151.0 -211.0 0.0
-105.0 -221.0 0.0
-72.0 -226.0 0.0
-28.0 -230.0 0.0
-4.3 186.0 2.5
-14.7 184.0 8.5
-17.3 177.0 10.0
-17.3 168.0 10.0
-16.5 161.0 9.5
-17.3 144.0 10.0
-18.2 130.0 10.5
-18.2 116.0 10.5
-19.9 104.0 11.5
-19.1 91.0 11.0
-19.9 80.0 11.5
-21.7 63.0 12.5
-22.5 46.0 13.0
-37.2 37.0 21.5
-55.4 47.0 32.0
-72.7 69.0 42.0
-79.7 93.0 46.0
-104.8 118.0 60.5
-140.3 137.0 81.0
-181.0 138.0 104.5
-211.3 121.0 122.0
-228.6 91.0 132.0
-242.5 52.0 140.0
-246.8 2.0 142.5
-248.5 -45.0 143.5
-242.5 -73.0 140.0
-227.8 -120.0 131.5
-207.8 -162.0 120.0
-166.3 -187.0 96.0
-130.8 -211.0 75.5
-90.9 -221.0 52.5
-62.4 -226.0 36.0
-24.2 -230.0 14.0
-2.5 186.0 4.3
-8.5 184.0 14.7
-10.0 177.0 17.3
-10.0 168.0 17.3
-9.5 161.0 16.5
-10.0 144.0 17.3
-10.5 130.0 18.2
-10.5 116.0 18.2
-11.5 104.0 19.9
-11.0 91.0 19.1
-11.5 80.0 19.9
-12.5 63.0 21.7
-13.0 46.0 22.5
-21.5 37.0 37.2
-32.0 47.0 55.4
-42.0 69.0 72.7
-46.0 93.0 79.7
-60.5 118.0 104.8
-81.0 137.0 140.3
-104.5 138.0 181.0
-122.0 121.0 211.3
-132.0 91.0 228.6
-140.0 52.0 242.5
-142.5 2.0 246.8
-143.5 -45.0 248.5
-140.0 -73.0 242.5
-131.5 -120.0 227.8
-120.0 -162.0 207.8
-96.0 -187.0 166.3
-75.5 -211.0 130.8
-52.5 -221.0 90.9
-36.0 -226.0 62.4
-14.0 -230.0 24.2
-0.0 186.0 5.0
-0.0 184.0 17.0
-0.0 177.0 20.0
-0.0 168.0 20.0
-0.0 161.0 19.0
