VERTEX = 482
-14.0 -227.0 0.0
-33.0 -227.0 0.0
-50.0 -226.0 0.0
-72.0 -222.0 0.0
-102.0 -217.0 0.0
-128.0 -194.0 0.0
-145.0 -171.0 0.0
-165.0 -137.0 0.0
-168.0 -98.0 0.0
-171.0 -60.0 0.0
-170.0 -6.0 0.0
-171.0 37.0 0.0
-180.0 78.0 0.0
-176.0 108.0 0.0
-180.0 152.0 0.0
-184.0 184.0 0.0
-201.0 213.0 0.0
-229.0 219.0 0.0
-231.0 200.0 0.0
-223.0 190.0 0.0
-215.0 175.0 0.0
-211.0 152.0 0.0
-209.0 131.0 0.0
-208.0 110.0 0.0
-204.0 92.0 0.0
-200.0 65.0 0.0
-204.0 39.0 0.0
-203.0 11.0 0.0
-201.0 -13.0 0.0
-201.0 -51.0 0.0
-198.0 -78.0 0.0
-194.0 -114.0 0.0
-192.0 -157.0 0.0
-180.0 -189.0 0.0
-155.0 -211.0 0.0
-136.0 -226.0 0.0
-106.0 -239.0 0.0
-65.0 -247.0 0.0
-36.0 -251.0 0.0
-16.0 -248.0 0.0
-12.1 -227.0 7.0
-28.6 -227.0 16.5
-43.3 -226.0 25.0
-62.4 -222.0 36.0
-88.3 -217.0 51.0
-110.9 -194.0 64.0
-125.6 -171.0 72.5
-142.9 -137.0 82.5
-145.5 -98.0 84.0
-148.1 -60.0 85.5
-147.2 -6.0 85.0
-148.1 37.0 85.5
-155.9 78.0 90.0
-152.4 108.0 88.0
-155.9 152.0 90.0
-159.3 184.0 92.0
-174.1 213.0 100.5
-198.3 219.0 114.5
-200.1 200.0 115.5
-193.1 190.0 111.5
-186.2 175.0 107.5
-182.7 152.0 105.5
-181.0 131.0 104.5
-180.1 110.0 104.0
-176.7 92.0 102.0
-173.2 65.0 100.0
-176.7 39.0 102.0
-175.8 11.0 101.5
-174.1 -13.0 100.5
-174.1 -51.0 100.5
-171.5 -78.0 99.0
-168.0 -114.0 97.0
-166.3 -157.0 96.0
-155.9 -189.0 90.0
-134.2 -211.0 77.5
-117.8 -226.0 68.0
-91.8 -239.0 53.0
-56.3 -247.0 32.5
-31.2 -251.0 18.0
-13.9 -248.0 8.0
-7.0 -227.0 12.1
-16.5 -227.0 28.6
-25.0 -226.0 43.3
-36.0 -222.0 62.4
-51.0 -217.0 88.3
-64.0 -194.0 110.9
-72.5 -171.0 125.6
-82.5 -137.0 142.9
-84.0 -98.0 145.5
-85.5 -60.0 148.1
-85.0 -6.0 147.2
-85.5 37.0 148.1
-90.0 78.0 155.9
-88.0 108.0 152.4
-90.0 152.0 155.9
-92.0 184.0 159.3
-100.5 213.0 174.1
-114.5 219.0 198.3
-115.5 200.0 200.1
-111.5 190.0 193.1
-107.5 175.0 186.2
-105.5 152.0 182.7
-104.5 131.0 181.0
-104.0 110.0 180.1
-102.0 92.0 176.7
-100.0 65.0 173.2
-102.0 39.0 176.7
-101.5 11.0 175.8
-100.5 -13.0 174.1
-100.5 -51.0 174.1
-99.0 -78.0 171.5
-97.0 -114.0 168.0
-96.0 -157.0 166.3
-90.0 -189.0 155.9
-77.5 -211.0 134.2
-68.0 -226.0 117.8
-53.0 -239.0 91.8
-32.5 -247.0 56.3
-18.0 -251.0 31.2
-8.0 -248.0 13.9
-0.0 -227.0 14.0
-0.0 -227.0 33.0
-0.0 -226.0 50.0
-0.0 -222.0 72.0
-0.0 -217.0 102.0
-0.0 -194.0 128.0
-0.0 -171.0 145.0
-0.0 -137.0 165.0
-0.0 -98.0 168.0
-0.0 -60.0 171.0
-0.0 -6.0 170.0
-0.0 37.0 171.0
-0.0 78.0 180.0
-0.0 108.0 176.0
-0.0 152.0 180.0
-0.0 184.0 184.0
-0.0 213.0 201.0
-0.0 219.0 229.0
-0.0 200.0 231.0
-0.0 190.0 223.0
-0.0 175.0 215.0
-0.0 152.0 211.0
-0.0 131.0 209.0
-0.0 110.0 208.0
-0.0 92.0 204.0
-0.0 65.0 200.0
-0.0 39.0 204.0
-0.0 11.0 203.0
-0.0 -13.0 201.0
-0.0 -51.0 201.0
-0.0 -78.0 198.0
-0.0 -114.0 194.0
-0.0 -157.0 192.0
-0.0 -189.0 180.0
-0.0 -211.0 155.0
-0.0 -226.0 136.0
-0.0 -239.0 106.0
-0.0 -247.0 65.0
-0.0 -251.0 36.0
-0.0 -248.0 16.0
7.0 -227.0 12.1
16.5 -227.0 28.6
25.0 -226.0 43.3
36.0 -222.0 62.4
51.0 -217.0 88.3
64.0 -194.0 110.9
72.5 -171.0 125.6
82.5 -137.0 142.9
84.0 -98.0 145.5
85.5 -60.0 148.1
85.0 -6.0 147.2
85.5 37.0 148.1
90.0 78.0 155.9
88.0 108.0 152.4
90.0 152.0 155.9
92.0 184.0 159.3
100.5 213.0 174.1
114.5 219.0 198.3
115.5 200.0 200.1
111.5 190.0 193.1
107.5 175.0 186.2
105.5 152.0 182.7
104.5 131.0 181.0
104.0 110.0 180.1
102.0 92.0 176.7
100.0 65.0 173.2
102.0 39.0 176.7
101.5 11.0 175.8
100.5 -13.0 174.1
100.5 -51.0 174.1
99.0 -78.0 171.5
97.0 -114.0 168.0
96.0 -157.0 166.3
90.0 -189.0 155.9
77.5 -211.0 134.2
68.0 -226.0 117.8
53.0 -239.0 91.8
32.5 -247.0 56.3
18.0 -251.0 31.2
8.0 -248.0 13.9
12.1 -227.0 7.0
28.6 -227.0 16.5
43.3 -226.0 25.0
62.4 -222.0 36.0
88.3 -217.0 51.0
110.9 -194.0 64.0
125.6 -171.0 72.5
142.9 -137.0 82.5
145.5 -98.0 84.0
148.1 -60.0 85.5
147.2 -6.0 85.0
148.1 37.0 85.5
155.9 78.0 90.0
152.4 108.0 88.0
155.9 152.0 90.0
159.3 184.0 92.0
174.1 213.0 100.5
198.3 219.0 114.5
200.1 200.0 115.5
193.1 190.0 111.5
186.2 175.0 107.5
182.7 152.0 105.5
181.0 131.0 104.5
180.1 110.0 104.0
176.7 92.0 102.0
173.2 65.0 100.0
176.7 39.0 102.0
175.8 11.0 101.5
174.1 -13.0 100.5
174.1 -51.0 100.5
171.5 -78.0 99.0
168.0 -114.0 97.0
166.3 -157.0 96.0
155.9 -189.0 90.0
134.2 -211.0 77.5
117.8 -226.0 68.0
91.8 -239.0 53.0
56.3 -247.0 32.5
31.2 -251.0 18.0
13.9 -248.0 8.0
14.0 -227.0 0.0
33.0 -227.0 0.0
50.0 -226.0 0.0
72.0 -222.0 0.0
102.0 -217.0 0.0
128.0 -194.0 0.0
145.0 -171.0 0.0
165.0 -137.0 0.0
168.0 -98.0 0.0
171.0 -60.0 0.0
170.0 -6.0 0.0
171.0 37.0 0.0
180.0 78.0 0.0
176.0 108.0 0.0
180.0 152.0 0.0
184.0 184.0 0.0
201.0 213.0 0.0
229.0 219.0 0.0
231.0 200.0 0.0
223.0 190.0 0.0
215.0 175.0 0.0
211.0 152.0 0.0
209.0 131.0 0.0
208.0 110.0 0.0
204.0 92.0 0.0
200.0 65.0 0.0
204.0 39.0 0.0
203.0 11.0 0.0
201.0 -13.0 0.0
201.0 -51.0 0.0
198.0 -78.0 0.0
194.0 -114.0 0.0
192.0 -157.0 0.0
180.0 -189.0 0.0
155.0 -211.0 0.0
136.0 -226.0 0.0
106.0 -239.0 0.0
65.0 -247.0 0.0
36.0 -251.0 0.0
16.0 -248.0 0.0
12.1 -227.0 -7.0
28.6 -227.0 -16.5
43.3 -226.0 -25.0
62.4 -222.0 -36.0
88.3 -217.0 -51.0
110.9 -194.0 -64.0
125.6 -171.0 -72.5
142.9 -137.0 -82.5
145.5 -98.0 -84.0
148.1 -60.0 -85.5
147.2 -6.0 -85.0
148.1 37.0 -85.5
155.9 78.0 -90.0
152.4 108.0 -88.0
155.9 152.0 -90.0
159.3 184.0 -92.0
174.1 213.0 -100.5
198.3 219.0 -114.5
200.1 200.0 -115.5
193.1 190.0 -111.5
186.2 175.0 -107.5
182.7 152.0 -105.5
181.0 131.0 -104.5
180.1 110.0 -104.0
176.7 92.0 -102.0
173.2 65.0 -100.0
176.7 39.0 -102.0
175.8 11.0 -101.5
174.1 -13.0 -100.5
174.1 -51.0 -100.5
171.5 -78.0 -99.0
168.0 -114.0 -97.0
166.3 -157.0 -96.0
155.9 -189.0 -90.0
134.2 -211.0 -77.5
117.8 -226.0 -68.0
91.8 -239.0 -53.0
56.3 -247.0 -32.5
31.2 -251.0 -18.0
13.9 -248.0 -8.0
7.0 -227.0 -12.1
16.5 -227.0 -28.6
25.0 -226.0 -43.3
36.0 -222.0 -62.4
51.0 -217.0 -88.3
64.0 -194.0 -110.9
72.5 -171.0 -125.6
82.5 -137.0 -142.9
84.0 -98.0 -145.5
85.5 -60.0 -148.1
85.0 -6.0 -147.2
85.5 37.0 -148.1
90.0 78.0 -155.9
88.0 108.0 -152.4
90.0 152.0 -155.9
92.0 184.0 -159.3
100.5 213.0 -174.1
114.5 219.0 -198.3
115.5 200.0 -200.1
111.5 190.0 -193.1
107.5 175.0 -186.2
105.5 152.0 -182.7
104.5 131.0 -181.0
104.0 110.0 -180.1
102.0 92.0 -176.7
100.0 65.0 -173.2
102.0 39.0 -176.7
101.5 11.0 -175.8
100.5 -13.0 -174.1
100.5 -51.0 -174.1
99.0 -78.0 -171.5
97.0 -114.0 -168.0
96.0 -157.0 -166.3
90.0 -189.0 -155.9
77.5 -211.0 -134.2
68.0 -226.0 -117.8
53.0 -239.0 -91.8
32.5 -247.0 -56.3
18.0 -251.0 -31.2
8.0 -248.0 -13.9
0.0 -227.0 -14.0
0.0 -227.0 -33.0
0.0 -226.0 -50.0
0.0 -222.0 -72.0
0.0 -217.0 -102.0
0.0 -194.0 -128.0
0.0 -171.0 -145.0
0.0 -137.0 -165.0
0.0 -98.0 -168.0
0.0 -60.0 -171.0
0.0 -6.0 -170.0
0.0 37.0 -171.0
0.0 78.0 -180.0
0.0 108.0 -176.0
0.0 152.0 -180.0
0.0 184.0 -184.0
0.0 213.0 -201.0
0.0 219.0 -229.0
0.0 200.0 -231.0
0.0 190.0 -223.0
0.0 175.0 -215.0
0.0 152.0 -211.0
0.0 131.0 -209.0
0.0 110.0 -208.0
0.0 92.0 -204.0
0.0 65.0 -200.0
0.0 39.0 -204.0
0.0 11.0 -203.0
0.0 -13.0 -201.0
0.0 -51.0 -201.0
0.0 -78.0 -198.0
0.0 -114.0 -194.0
0.0 -157.0 -192.0
0.0 -189.0 -180.0
0.0 -211.0 -155.0
